Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government
Laos,2018,4.85940218,8.934959412,0.70473814,60.20000076,0.906660974,0.140324414,0.634239852,0.710656404,0.331882507,
Latvia,2018,5.901154041,10.31064224,0.913276315,66.09999847,0.608207643,-0.214700237,0.798949242,0.52055192,0.191870555,0.1971623
Lebanon,2018,5.167186737,9.660009384,0.829380631,65.92500305,0.60703069,-0.067326963,0.906650305,0.415106893,0.270688891,0.219074845
Liberia,2018,4.134852886,7.342111588,0.726750135,54.29999924,0.765769541,0.048324358,0.867924094,0.664399087,0.436099499,0.70391202
Libya,2018,5.493977547,9.617004395,0.824165165,64.97499847,0.780558527,-0.102705486,0.645838797,0.635468781,0.398903102,
Lithuania,2018,6.308878899,10.47578526,0.929350138,66.34999847,0.698945105,-0.239049926,0.851745069,0.518092513,0.213559717,0.323758096
Luxembourg,2018,7.242630959,11.65312195,0.902192414,71.57499695,0.883929849,-0.025720127,0.385146111,0.714694262,0.201894343,0.755200863
Madagascar,2018,4.070586681,7.372725487,0.665512979,57.04999924,0.551473081,0.004180944,0.889145672,0.723371804,0.362013817,0.442305923
Malawi,2018,3.334633589,7.311039448,0.527843475,56.54999924,0.798915148,0.04760994,0.765963793,0.548135459,0.364894032,0.572984874
Malaysia,2018,5.338817596,10.22475052,0.789408565,65.72499847,0.874548256,0.125218078,0.894131124,0.716042221,0.200366735,0.732398391
Maldives,2018,5.197574615,9.841284752,0.913315058,69.77500153,0.854759276,0.021233957,,,,
Mali,2018,4.415729523,7.73355341,0.691859066,54.20000076,0.737204552,-0.03361382,0.793091416,0.688584208,0.369648188,0.510795414
Malta,2018,6.909710884,10.67621899,0.931541502,71.44999695,0.927340686,0.175904512,0.595199883,0.666130424,0.295698792,0.757713675
Mauritania,2018,4.313615322,8.555142403,0.801595509,59.57500076,0.466888547,-0.114208922,0.710529268,0.665246367,0.275557995,0.258394152
